artistName,endTime,source,trackName,valence,duration_ms
Marian Hill,2019-02-10 05:37,0,One Time,0.519,217613.0
Zack Fox,2019-02-10 05:39,0,Square Up,0.616,132923.0
Edwin Luna y La Trakalosa de Monterrey,2019-02-10 05:42,0,Fíjate Que Si,0.617,204587.0
Bill Withers,2019-02-10 05:45,0,Ain't No Sunshine,0.443,186629.0
Vicente Fernández,2019-02-10 05:45,0,No Me Se Rajar,0.896,144973.0
Valee,2019-02-10 19:14,0,Womp Womp,0.493,226533.0
DJ Shadow,2019-02-10 19:17,0,Nobody Speak,0.304,195966.0
Bad Meets Evil,2019-02-10 19:22,0,Echo,0.399,295067.0
Rag'n'Bone Man,2019-02-10 19:25,0,Human,,
Yung Bae,2019-02-10 19:28,0,Holding Your Hand,0.53,133146.0
Rae Sremmurd,2019-02-10 19:31,0,No Type,0.239,200080.0
atlas,2019-02-10 21:05,0,valentine,0.881,123418.0
Saba,2019-02-10 23:16,0,Westside Bound 3,0.588,177246.0
Valee,2019-02-10 23:19,0,Womp Womp,0.493,226533.0
McCafferty,2019-02-10 23:23,0,Beachboy,0.75,199341.0
Valee,2019-02-10 23:24,0,Womp Womp,0.493,226533.0
21 Savage,2019-02-10 23:24,0,a lot,0.274,288624.0
Fito Olivares y Su Grupo,2019-02-10 23:24,0,Juana La Cubana,0.826,190800.0
Limbo,2019-02-10 23:24,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-11 01:01,0,a lot,0.274,288624.0
21 Savage,2019-02-11 01:01,0,a lot,0.274,288624.0
21 Savage,2019-02-11 01:01,0,a lot,0.274,288624.0
21 Savage,2019-02-11 01:06,0,a lot,0.274,288624.0
Hot 8 Brass Band,2019-02-11 01:10,0,Love Will Tear Us Apart,0.288,216125.0
Ski Mask The Slump God,2019-02-11 01:11,0,Durgaflowz,0.519,96078.0
Emmanuel,2019-02-11 01:17,0,"La Chica De Humo - En Vivo Desde Auditorio Nacional, México/ 2007",0.647,338107.0
Rag'n'Bone Man,2019-02-11 01:21,0,Skin,,
Ludacris,2019-02-11 01:25,0,Good Lovin,0.598,223440.0
Alejandro Fernandez,2019-02-11 01:28,0,Como Quien Pierde una Estrella,0.616,215000.0
Lil Yachty,2019-02-11 01:32,0,One Night,0.34,243270.0
Maná,2019-02-11 01:37,0,Me Vale,0.753,271320.0
John Newman,2019-02-11 01:41,0,Love Me Again,0.213,239894.0
Ice Cube,2019-02-11 01:43,0,That New Funkadelic,0.573,234347.0
Valee,2019-02-11 16:51,0,Womp Womp,0.493,226533.0
21 Savage,2019-02-11 16:51,0,a lot,0.274,288624.0
Limbo,2019-02-11 16:52,0,Airplane Mode,0.07,164113.0
Valee,2019-02-11 16:56,0,Womp Womp,0.493,226533.0
McCafferty,2019-02-11 16:59,0,Beachboy,0.75,199341.0
Limbo,2019-02-11 17:02,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-11 17:03,0,a lot,0.274,288624.0
21 Savage,2019-02-11 17:03,0,a lot,0.274,288624.0
Limbo,2019-02-11 17:03,0,Airplane Mode,0.07,164113.0
Rainbow Kitten Surprise,2019-02-11 17:04,0,It's Called: Freefall,0.281,152293.0
Jai Wolf,2019-02-11 17:04,0,Lose My Mind (feat. Mr Gabriel),0.508,258547.0
Jai Wolf,2019-02-11 17:04,0,Lose My Mind (feat. Mr Gabriel),0.508,258547.0
McCafferty,2019-02-11 17:04,0,Beachboy,0.75,199341.0
JID,2019-02-11 17:06,0,Off Deez (with J. Cole),0.431,213358.0
John Newman,2019-02-11 17:15,0,Love Me Again,0.213,239894.0
Bad Bunny,2019-02-11 17:19,0,NI BIEN NI MAL,0.337,236216.0
Bad Bunny,2019-02-11 17:22,0,200 Mph,0.816,170509.0
Bad Bunny,2019-02-11 17:25,0,¿Quien Tu Eres?,0.325,159229.0
Bad Bunny,2019-02-11 17:29,0,Caro,0.248,229456.0
Bad Bunny,2019-02-11 17:32,0,Tenemos Que Hablar,0.144,224512.0
Bad Bunny,2019-02-11 17:36,0,Otra Noche en Miami,0.297,233128.0
Bad Bunny,2019-02-11 17:39,0,Ser Bichote,0.183,193211.0
Bad Bunny,2019-02-11 17:42,0,Si Estuviésemos Juntos,0.158,169248.0
Bad Bunny,2019-02-11 17:46,0,Solo de Mi,0.15,197968.0
Bad Bunny,2019-02-11 17:49,0,Cuando Perriabas,0.499,188654.0
Bad Bunny,2019-02-11 17:54,0,La Romana,0.326,300579.0
Bad Bunny,2019-02-11 17:58,0,Como Antes,0.252,230578.0
Bad Bunny,2019-02-11 18:03,0,RLNDT,0.142,284853.0
Bad Bunny,2019-02-11 19:45,0,MIA,0.158,210368.0
Bad Bunny,2019-02-11 19:45,0,Estamos Bien,0.439,208080.0
JID,2019-02-11 19:48,0,Off Deez (with J. Cole),0.431,213358.0
Powers Pleasant,2019-02-11 19:49,0,Pull Up (feat. Joey Bada$$ & A$AP Ferg),0.443,181827.0
Jack Harlow,2019-02-11 19:53,0,Got Me Thinking,0.335,240000.0
Smino,2019-02-11 20:11,0,KLINK,0.765,182209.0
JID,2019-02-11 20:12,0,EdEddnEddy,0.326,140512.0
Saba,2019-02-11 20:12,0,Westside Bound 3,0.588,177246.0
Powers Pleasant,2019-02-11 20:15,0,"Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)",0.168,192347.0
Jack Harlow,2019-02-11 20:16,0,DRIP DROP (feat. Cyhi The Prynce),0.349,203613.0
Duckwrth,2019-02-11 20:17,0,SOPRANO,0.21,166907.0
Smino,2019-02-11 20:19,0,KRUSHED ICE (with Valee),0.584,163169.0
JID,2019-02-11 23:36,0,Westbrook (with A$AP Ferg),0.432,237297.0
Wifisfuneral,2019-02-11 23:38,0,Juveniles (feat. YBN Nahmir),0.555,161698.0
Jack Harlow,2019-02-11 23:42,0,NUN FREE (feat. 2forwOyNE),0.446,208193.0
Saba,2019-02-11 23:43,0,Where It's At,0.366,205600.0
MadeinTYO,2019-02-11 23:46,0,Chucky Cheese,0.565,165293.0
Smino,2019-02-11 23:49,0,L.M.F.,0.864,188500.0
JID,2019-02-11 23:52,0,Mounted Up,0.455,182582.0
Jack Harlow,2019-02-12 00:58,0,SUNDOWN,0.704,125217.0
Saba,2019-02-12 01:02,0,Stay Right Here,0.628,210133.0
Dom Kennedy,2019-02-12 01:05,0,Fell in Love,0.348,189995.0
Smino,2019-02-12 01:08,0,VERIZON,0.155,207826.0
MadeinTYO,2019-02-12 01:13,0,Skateboard P (feat. Big Sean),0.339,242307.0
JID,2019-02-12 01:17,0,Hasta Luego - Bonus,0.297,221206.0
Jack Harlow,2019-02-12 01:21,0,OnnaWay,0.485,216640.0
Saba,2019-02-12 01:24,0,Beautiful Smile,0.899,171013.0
Bas,2019-02-12 01:27,0,Boca Raton (with A$AP Ferg),0.388,197307.0
Smino,2019-02-12 01:30,0,SKEDOS,0.569,165811.0
JID,2019-02-12 01:33,0,Off Da Zoinkys,0.373,208569.0
MadeinTYO,2019-02-12 01:36,0,Retro 88,0.52,131493.0
Freddie Gibbs,2019-02-12 01:38,0,Automatic,0.314,152000.0
Flatbush Zombies,2019-02-12 01:43,0,Facts (feat. Jadakiss),0.316,272625.0
Saba,2019-02-12 01:46,0,Where Ideas Sing (feat. Daoud),0.442,219130.0
JID,2019-02-12 01:51,0,Despacito Too,0.379,254281.0
MadeinTYO,2019-02-12 01:55,0,Cashing Out,0.178,167307.0
Vic Mensa,2019-02-12 01:58,0,Rowdy (feat. G Herbo),0.205,184467.0
Flatbush Zombies,2019-02-12 02:07,0,Best American,0.235,235630.0
Jack Harlow,2019-02-12 02:10,0,LIKE THIS,0.373,224000.0
